label,type,symbol,D,t,r
冷間ロール成形角形鋼管,BCR,□,150,6,15
冷間ロール成形角形鋼管,BCR,□,150,9,22.5
冷間ロール成形角形鋼管,BCR,□,150,12,30
,,,,,
冷間ロール成形角形鋼管,BCR,□,175,6,15
冷間ロール成形角形鋼管,BCR,□,175,9,22.5
冷間ロール成形角形鋼管,BCR,□,175,12,30
,,,,,
冷間ロール成形角形鋼管,BCR,□,200,6,15
冷間ロール成形角形鋼管,BCR,□,200,8,20
冷間ロール成形角形鋼管,BCR,□,200,9,22.5
冷間ロール成形角形鋼管,BCR,□,200,12,30
冷間ロール成形角形鋼管,BCR,□,200,16,40
,,,,,
冷間ロール成形角形鋼管,BCR,□,250,6,15
冷間ロール成形角形鋼管,BCR,□,250,8,20
冷間ロール成形角形鋼管,BCR,□,250,9,22.5
冷間ロール成形角形鋼管,BCR,□,250,12,30
冷間ロール成形角形鋼管,BCR,□,250,14,35
冷間ロール成形角形鋼管,BCR,□,250,16,40
冷間ロール成形角形鋼管,BCR,□,250,19,47.5
,,,,,
冷間ロール成形角形鋼管,BCR,□,300,6,15
冷間ロール成形角形鋼管,BCR,□,300,8,20
冷間ロール成形角形鋼管,BCR,□,300,9,22.5
冷間ロール成形角形鋼管,BCR,□,300,12,30
冷間ロール成形角形鋼管,BCR,□,300,14,35
冷間ロール成形角形鋼管,BCR,□,300,16,40
冷間ロール成形角形鋼管,BCR,□,300,19,47.5
,,,,,
冷間ロール成形角形鋼管,BCR,□,350,9,22.5
冷間ロール成形角形鋼管,BCR,□,350,12,30
冷間ロール成形角形鋼管,BCR,□,350,14,35
冷間ロール成形角形鋼管,BCR,□,350,16,40
冷間ロール成形角形鋼管,BCR,□,350,19,47.5
冷間ロール成形角形鋼管,BCR,□,350,22,55
,,,,,
冷間ロール成形角形鋼管,BCR,□,400,9,22.5
冷間ロール成形角形鋼管,BCR,□,400,12,30
冷間ロール成形角形鋼管,BCR,□,400,14,35
冷間ロール成形角形鋼管,BCR,□,400,16,40
冷間ロール成形角形鋼管,BCR,□,400,19,47.5
冷間ロール成形角形鋼管,BCR,□,400,22,55
冷間ロール成形角形鋼管,BCR,□,400,25,62.5
,,,,,
冷間ロール成形角形鋼管,BCR,□,450,9,22.5
冷間ロール成形角形鋼管,BCR,□,450,12,30
冷間ロール成形角形鋼管,BCR,□,450,14,35
冷間ロール成形角形鋼管,BCR,□,450,16,40
冷間ロール成形角形鋼管,BCR,□,450,19,47.5
冷間ロール成形角形鋼管,BCR,□,450,22,55
冷間ロール成形角形鋼管,BCR,□,450,25,62.5
,,,,,
冷間ロール成形角形鋼管,BCR,□,500,9,22.5
冷間ロール成形角形鋼管,BCR,□,500,12,30
冷間ロール成形角形鋼管,BCR,□,500,14,35
冷間ロール成形角形鋼管,BCR,□,500,16,40
冷間ロール成形角形鋼管,BCR,□,500,19,47.5
冷間ロール成形角形鋼管,BCR,□,500,22,55
冷間ロール成形角形鋼管,BCR,□,500,25,62.5
,,,,,
冷間ロール成形角形鋼管,BCR,□,550,12,30
冷間ロール成形角形鋼管,BCR,□,550,14,35
冷間ロール成形角形鋼管,BCR,□,550,16,40
冷間ロール成形角形鋼管,BCR,□,550,19,47.5
冷間ロール成形角形鋼管,BCR,□,550,22,55
冷間ロール成形角形鋼管,BCR,□,550,25,62.5
