label,type,symbol,H,B,tw,tf,r
JIS,細幅,H,100,50,5,7,8
JIS,細幅,H,125,60,6,8,8
JIS,細幅,H,150,75,5,7,8
JIS,細幅,H,175,90,5,8,8
JIS,細幅,H,200,100,5.5,8,8
JIS,細幅,H,250,125,6,9,8
JIS,細幅,H,300,150,6.5,9,13
JIS,細幅,H,350,175,7,11,13
JIS,細幅,H,400,200,8,13,13
JIS,細幅,H,450,200,9,14,13
JIS,細幅,H,500,200,10,16,13
JIS,細幅,H,600,200,11,17,13
JIS,中幅,H,194,150,6,9,8
JIS,中幅,H,244,175,7,11,13
JIS,中幅,H,294,200,8,12,13
JIS,中幅,H,340,250,9,14,13
JIS,中幅,H,390,300,10,16,13
JIS,中幅,H,440,300,11,18,13
JIS,中幅,H,488,300,11,18,13
JIS,中幅,H,588,300,12,20,13
JIS,中幅,H,700,300,13,24,18
JIS,中幅,H,800,300,14,26,18
JIS,中幅,H,900,300,16,28,18
JIS,広幅,H,100,100,6,8,8
JIS,広幅,H,125,125,6.5,9,8
JIS,広幅,H,150,150,7,10,8
JIS,広幅,H,175,175,7.5,11,13
JIS,広幅,H,200,200,8,12,13
JIS,広幅,H,250,250,9,14,13
JIS,広幅,H,300,300,10,15,13
JIS,広幅,H,350,350,12,19,13
JIS,広幅,H,400,400,13,21,22
SHH,スーパーハイスレンドH,SH,400,200,9,12,13
SHH,スーパーハイスレンドH,SH,400,200,9,16,13
SHH,スーパーハイスレンドH,SH,400,200,9,19,13
SHH,スーパーハイスレンドH,SH,400,200,9,22,13
SHH,スーパーハイスレンドH,SH,400,200,12,16,13
SHH,スーパーハイスレンドH,SH,400,200,12,19,13
SHH,スーパーハイスレンドH,SH,400,200,12,22,13
SHH,スーパーハイスレンドH,SH,450,200,9,12,13
SHH,スーパーハイスレンドH,SH,450,200,9,16,13
SHH,スーパーハイスレンドH,SH,450,200,9,19,13
SHH,スーパーハイスレンドH,SH,450,200,9,22,13
SHH,スーパーハイスレンドH,SH,450,200,12,16,13
SHH,スーパーハイスレンドH,SH,450,200,12,19,13
SHH,スーパーハイスレンドH,SH,450,200,12,22,13
SHH,スーパーハイスレンドH,SH,450,200,12,25,13
SHH,スーパーハイスレンドH,SH,450,250,9,12,13
SHH,スーパーハイスレンドH,SH,450,250,9,16,13
SHH,スーパーハイスレンドH,SH,450,250,9,19,13
SHH,スーパーハイスレンドH,SH,450,250,9,22,13
SHH,スーパーハイスレンドH,SH,450,250,12,16,13
SHH,スーパーハイスレンドH,SH,450,250,12,19,13
SHH,スーパーハイスレンドH,SH,450,250,12,22,13
SHH,スーパーハイスレンドH,SH,450,250,12,25,13
SHH,スーパーハイスレンドH,SH,450,250,12,28,13
SHH,スーパーハイスレンドH,SH,500,200,9,12,13
SHH,スーパーハイスレンドH,SH,500,200,9,16,13
SHH,スーパーハイスレンドH,SH,500,200,9,19,13
SHH,スーパーハイスレンドH,SH,500,200,9,22,13
SHH,スーパーハイスレンドH,SH,500,200,12,16,13
SHH,スーパーハイスレンドH,SH,500,200,12,19,13
SHH,スーパーハイスレンドH,SH,500,200,12,22,13
SHH,スーパーハイスレンドH,SH,500,200,12,25,13
SHH,スーパーハイスレンドH,SH,500,250,9,12,13
SHH,スーパーハイスレンドH,SH,500,250,9,16,13
SHH,スーパーハイスレンドH,SH,500,250,9,19,13
SHH,スーパーハイスレンドH,SH,500,250,9,22,13
SHH,スーパーハイスレンドH,SH,500,250,12,16,13
SHH,スーパーハイスレンドH,SH,500,250,12,19,13
SHH,スーパーハイスレンドH,SH,500,250,12,22,13
SHH,スーパーハイスレンドH,SH,500,250,12,25,13
SHH,スーパーハイスレンドH,SH,500,250,12,28,13
SHH,スーパーハイスレンドH,SH,500,300,9,16,13
SHH,スーパーハイスレンドH,SH,500,300,9,19,13
SHH,スーパーハイスレンドH,SH,500,300,12,16,13
SHH,スーパーハイスレンドH,SH,500,300,12,19,13
SHH,スーパーハイスレンドH,SH,500,300,12,22,13
SHH,スーパーハイスレンドH,SH,500,300,12,25,13
SHH,スーパーハイスレンドH,SH,500,300,12,28,13
SHH,スーパーハイスレンドH,SH,500,300,14,19,13
SHH,スーパーハイスレンドH,SH,500,300,14,22,13
SHH,スーパーハイスレンドH,SH,500,300,14,25,13
SHH,スーパーハイスレンドH,SH,500,300,14,28,13
SHH,スーパーハイスレンドH,SH,500,300,16,19,13
SHH,スーパーハイスレンドH,SH,500,300,16,22,13
SHH,スーパーハイスレンドH,SH,500,300,16,25,13
