type,name,D,kbs,Df
ハイベースNEO,EB150-4-24,150,14000000000,500
ハイベースNEO,EB175-4-24,175,17900000000,520
ハイベースNEO,EB200-4-24,200,21900000000,550
ハイベースNEO,EB250-4-24,250,32200000000,600
ハイベースNEO,EB300-8-30,300,69400000000,700
ハイベースNEO,GB350-4-42,350,1.28E+11,740
ハイベースNEO,GB400-8-36,400,2.34E+11,880
ハイベースNEO,GB450-8-42,450,3.48E+11,890
ハイベースNEO,GB500-8-48,500,4.89E+11,1000
ハイベースNEO,GB550-8-48,550,5.8E+11,1050
ハイベースNEO,GB600-1 2-48,600,9.53E+11,1100
ハイベースNEO,GB650-8-64,650,1.08E+12,1200
ハイベースNEO,GB700-8-64,700,1.28E+12,1300
ハイベースNEO,GB750-1 2-56,750,1.7E+12,1300
ハイベースNEO,GB800-1 2-56,800,1.93E+12,1350
ハイベースNEO,GB850-1 2-56,850,2.16E+12,1500
ハイベースNEO,GB900-1 2-64,900,2.77E+12,1800
ハイベースNEO,GB950-1 2-64,950,3E+12,1800
ハイベースNEO,GB1000-12-64,1000,3.39E+12,1800
ハイベースNEO,GB1050-12-64,1050,3.73E+12,1850
ハイベースNEO,GB1100-12-64,1100,4.11E+12,1850
ハイベースNEO,GBl 150-12-64,1150,4.49E+12,2400
ハイベースNEO,GB 1200-12-64,1200,4.91E+12,2400
